stfips,year,nfd,post,asmrs,pcinc,cases,copop,posttrend,pretrend
1,1964,1971,0,35.63988,12406.179,.01231224,1715156,0,7
1,1965,1971,0,41.54375,13070.207,.01041941,1725186,0,6
1,1966,1971,0,34.25233,13526.663,.0099001,1735219,0,5
1,1967,1971,0,34.46502,13918.19,.00997469,1745250,0,4
1,1968,1971,0,40.44011,14684.809,.01240066,1755283,0,3
1,1969,1971,0,42.49012,15638.876,.01500676,1765316,0,2
1,1970,1971,0,44.23907,16222.948,.01970314,1787363,0,1
1,1971,1971,1,49.91467,16875.43,.02273745,1809412,1,0
1,1972,1971,1,47.20313,17976.755,.02355598,1831191,2,0
1,1973,1971,1,41.03307,18808.247,.02503153,1853536,3,0
1,1974,1971,1,46.20281,18726.044,.02433602,1879094,4,0
1,1975,1971,1,39.24017,19007.47,.02687814,1907830,5,0
1,1976,1971,1,48.39191,19851.2,.02732268,1938304,6,0
1,1977,1971,1,40.51945,20306.107,.02856307,1962569,7,0
1,1978,1971,1,33.85831,21214.732,.02935267,1990864,8,0
1,1979,1971,1,36.34628,21322.1,.03027992,2009957,9,0
1,1980,1971,1,32.30294,20977.435,.03117796,2025456,10,0
1,1981,1971,1,42.33469,21173.2,.02937146,2036194,11,0
1,1982,1971,1,37.64971,21060.715,.02684053,2041319,12,0
1,1983,1971,1,41.42575,21586.775,.02688576,2045203,13,0
1,1984,1971,1,44.17102,22701.939,.02656172,2054834,14,0
1,1985,1971,1,39.96854,23520.067,.02500205,2066907,15,0
1,1986,1971,1,43.81795,24343.56,.02376206,2076879,16,0
1,1987,1971,1,42.04374,24777.58,.02234983,2089300,17,0
1,1988,1971,1,44.65412,25658.859,.0215865,2093975,18,0
1,1989,1971,1,41.66689,26735.596,.02139487,2097952,19,0
1,1990,1971,1,40.95203,26925.459,.0216023,2109548,20,0
1,1991,1971,1,39.23883,27108.993,.0226831,2134265,21,0
1,1992,1971,1,37.87407,28096.813,.02361911,2160659,22,0
