"loc_id","region","state_id","state_name","name","calendar_year","total_operations"
"PHX","AWP","AZ","ARIZONA","PHOENIX SKY HARBOR INTL",2015,440411
"PHX","AWP","AZ","ARIZONA","PHOENIX SKY HARBOR INTL",2016,440643
"PHX","AWP","AZ","ARIZONA","PHOENIX SKY HARBOR INTL",2017,430968
"PHX","AWP","AZ","ARIZONA","PHOENIX SKY HARBOR INTL",2018,434252
"PHX","AWP","AZ","ARIZONA","PHOENIX SKY HARBOR INTL",2019,438891
"LAX","AWP","CA","CALIFORNIA","LOS ANGELES INTL",2015,654501
"LAX","AWP","CA","CALIFORNIA","LOS ANGELES INTL",2016,696890
"LAX","AWP","CA","CALIFORNIA","LOS ANGELES INTL",2017,700362
"LAX","AWP","CA","CALIFORNIA","LOS ANGELES INTL",2018,707833
"LAX","AWP","CA","CALIFORNIA","LOS ANGELES INTL",2019,691257
"SAN","AWP","CA","CALIFORNIA","SAN DIEGO INTL",2015,193712
"SAN","AWP","CA","CALIFORNIA","SAN DIEGO INTL",2016,196935
"SAN","AWP","CA","CALIFORNIA","SAN DIEGO INTL",2017,209563
"SAN","AWP","CA","CALIFORNIA","SAN DIEGO INTL",2018,225058
"SAN","AWP","CA","CALIFORNIA","SAN DIEGO INTL",2019,231354
"SFO","AWP","CA","CALIFORNIA","SAN FRANCISCO INTL",2015,430518
"SFO","AWP","CA","CALIFORNIA","SAN FRANCISCO INTL",2016,450391
"SFO","AWP","CA","CALIFORNIA","SAN FRANCISCO INTL",2017,460346
"SFO","AWP","CA","CALIFORNIA","SAN FRANCISCO INTL",2018,470166
"SFO","AWP","CA","CALIFORNIA","SAN FRANCISCO INTL",2019,458502
"DEN","ANM","CO","COLORADO","DENVER INTL",2015,547648
"DEN","ANM","CO","COLORADO","DENVER INTL",2016,572520
"DEN","ANM","CO","COLORADO","DENVER INTL",2017,582486
"DEN","ANM","CO","COLORADO","DENVER INTL",2018,603403
"DEN","ANM","CO","COLORADO","DENVER INTL",2019,640098
"DCA","AEA","DC","DIST. OF COLUMBIA","RONALD REAGAN WASHINGTON NTL",2015,297095
"DCA","AEA","DC","DIST. OF COLUMBIA","RONALD REAGAN WASHINGTON NTL",2016,299670
"DCA","AEA","DC","DIST. OF COLUMBIA","RONALD REAGAN WASHINGTON NTL",2017,299360
"DCA","AEA","DC","DIST. OF COLUMBIA","RONALD REAGAN WASHINGTON NTL",2018,297048
"DCA","AEA","DC","DIST. OF COLUMBIA","RONALD REAGAN WASHINGTON NTL",2019,298310
"IAD","AEA","DC","DIST. OF COLUMBIA","WASHINGTON DULLES INTL",2015,294807
"IAD","AEA","DC","DIST. OF COLUMBIA","WASHINGTON DULLES INTL",2016,292124
"IAD","AEA","DC","DIST. OF COLUMBIA","WASHINGTON DULLES INTL",2017,294066
"IAD","AEA","DC","DIST. OF COLUMBIA","WASHINGTON DULLES INTL",2018,305543
"IAD","AEA","DC","DIST. OF COLUMBIA","WASHINGTON DULLES INTL",2019,308159
"FLL","ASO","FL","FLORIDA","FORT LAUDERDALE/HOLLYWOOD INTL",2015,278005
"FLL","ASO","FL","FLORIDA","FORT LAUDERDALE/HOLLYWOOD INTL",2016,290239
"FLL","ASO","FL","FLORIDA","FORT LAUDERDALE/HOLLYWOOD INTL",2017,312763
"FLL","ASO","FL","FLORIDA","FORT LAUDERDALE/HOLLYWOOD INTL",2018,333465
"FLL","ASO","FL","FLORIDA","FORT LAUDERDALE/HOLLYWOOD INTL",2019,331455
"MIA","ASO","FL","FLORIDA","MIAMI INTL",2015,412915
"MIA","ASO","FL","FLORIDA","MIAMI INTL",2016,414234
"MIA","ASO","FL","FLORIDA","MIAMI INTL",2017,413287
"MIA","ASO","FL","FLORIDA","MIAMI INTL",2018,416032
"MIA","ASO","FL","FLORIDA","MIAMI INTL",2019,416773
"MCO","ASO","FL","FLORIDA","ORLANDO INTL",2015,314616
"MCO","ASO","FL","FLORIDA","ORLANDO INTL",2016,323914
"MCO","ASO","FL","FLORIDA","ORLANDO INTL",2017,338278
"MCO","ASO","FL","FLORIDA","ORLANDO INTL",2018,355533
"MCO","ASO","FL","FLORIDA","ORLANDO INTL",2019,366169
"TPA","ASO","FL","FLORIDA","TAMPA INTL",2015,189887
"TPA","ASO","FL","FLORIDA","TAMPA INTL",2016,189682
"TPA","ASO","FL","FLORIDA","TAMPA INTL",2017,195489
"TPA","ASO","FL","FLORIDA","TAMPA INTL",2018,206958
"TPA","ASO","FL","FLORIDA","TAMPA INTL",2019,217502
