"","crude","stat","pval"
"1","m_number_dated_brent",-9.0372650712644,0.01
"2","forties",-9.00725775141452,0.01
"3","oseberg",-8.80237301863984,0.01
"4","ekofisk",-8.78491918586469,0.01
"5","troll",-8.81998205131983,0.01
"6","north_sea_basket",-8.88527794309518,0.01
"7","statfjord",-8.76384363433334,0.01
"8","flotta_gold",-8.87828129841617,0.01
"9","duc_dansk",-8.71336601781224,0.01
"10","grane",-8.50035174769768,0.01
"11","gulfaks",-8.80134799611315,0.01
"12","alvheim",-8.70812248201354,0.01
"13","asgard",-8.66480313103338,0.01
"14","wti_midlands",-7.01526007699851,0.01
"15","eagleford_45",-7.20710904899459,0.01
