Date,Avg Price (All),S&P Close,USD FX Index,DOW DJI Close,Emerging Market ETF
4/25/2019,75.12714286,2926.17,98.01,26462.08,40.35
4/24/2019,74.56107143,2927.25,98.2,26597.05,40.42
4/23/2019,74.51535714,2933.68,98.1,26656.39,40.9
4/18/2019,71.94428571,2905.03,#N/A,26559.54,41.05
4/17/2019,71.91857143,2900.45,97.47,26449.54,41
4/16/2019,71.43035714,2907.06,97.01,26452.66,40.9
4/15/2019,71.34214286,2905.58,97.04,26384.77,40.57
4/4/2019,69.88035714,2879.39,97.4,26384.63,40.57
4/3/2019,69.355,2873.4,97.31,26218.13,40.31
4/2/2019,69.75071429,2867.24,97.09,26179.13,40.12
4/1/2019,69.29535714,2867.19,97.36,26258.42,40.24
3/29/2019,68.13607143,2834.4,#N/A,25928.68,39.64
3/28/2019,66.92178571,2815.44,97.28,25717.46,39.18
3/27/2019,67.85714286,2805.37,97.2,25625.59,38.84
3/26/2019,67.895,2818.46,96.77,25657.73,39.27
3/25/2019,67.18571429,2798.36,96.74,25516.83,39.14
3/22/2019,66.52607143,2800.71,#N/A,25502.32,38.96
3/21/2019,68.36035714,2854.88,96.65,25962.51,40.17
3/20/2019,68.5275,2824.23,96.5,25745.67,40.08
3/19/2019,67.82214286,2832.57,95.76,25887.38,40.09
3/18/2019,67.41285714,2832.94,96.38,25914.1,40.08
3/15/2019,66.975,2822.48,#N/A,25848.87,39.63
3/13/2019,67.03035714,2810.92,96.79,25702.89,39.3
3/12/2019,66.49714286,2791.52,96.55,25554.66,39.22
3/11/2019,66.21321429,2783.3,96.94,25650.88,39.06
3/8/2019,64.59071429,2743.07,97.37,25450.24,38.28
3/7/2019,65.75392857,2748.93,97.67,25473.23,38.56
3/6/2019,65.3875,2771.45,96.87,25673.46,39.19
3/5/2019,65.51821429,2789.65,96.85,25806.63,39.39
3/4/2019,65.64535714,2792.81,96.68,25819.65,38.93
3/1/2019,64.95071429,2803.69,96.53,26026.32,38.79
2/28/2019,66.15535714,2784.49,96.16,25916,38.74
2/27/2019,66.47571429,2792.38,96.15,25985.16,39.04
2/26/2019,65.35321429,2793.9,96,26057.98,39.35
2/25/2019,64.9425,2796.11,96.41,26091.95,39.47
2/22/2019,67.34392857,2792.67,96.51,26031.81,38.95
2/21/2019,67.22714286,2774.88,96.61,25850.63,38.51
2/20/2019,67.11392857,2784.7,96.45,25954.44,38.6
2/19/2019,66.19214286,2779.76,96.52,25891.32,38.43
2/18/2019,66.69571429,#N/A,#N/A,#N/A,#N/A
2/14/2019,64.29571429,2745.73,96.98,25439.39,38.1
2/13/2019,63.96928571,2753.03,97.13,25543.27,38.03
2/12/2019,62.88714286,2744.73,96.71,25425.76,38.3
2/11/2019,61.65142857,2709.8,97.06,25053.11,37.93
2/7/2019,61.50678571,2706.05,96.51,25169.53,38.3
