"","crude","stat","pval"
"1","m_number_dated_brent",-2.83762253538,0.223748284798643
"2","forties",-2.83480725899261,0.224939976609179
"3","oseberg",-2.7755933674574,0.250004908041289
"4","ekofisk",-2.81127393056822,0.234901511783333
"5","troll",-2.77866202795845,0.24870596005707
"6","north_sea_basket",-2.81344812588986,0.233981186244106
"7","statfjord",-2.80155869792855,0.239013919085858
"8","flotta_gold",-2.8236380385227,0.229667849376365
"9","duc_dansk",-2.75715557627163,0.257809528880233
"10","grane",-2.70841389852211,0.278441626839058
"11","gulfaks",-2.79501103390244,0.24178551111604
"12","alvheim",-2.08997622484413,0.54022306838735
"13","asgard",-2.09133181377945,0.539649254661669
"14","wti_midlands",-2.24109572708826,0.476254971314198
"15","eagleford_45",-2.32616249608494,0.440246651699113
