"","crude","stat","pval"
"1","m_number_dated_brent",-884.675592573103,0.01
"2","forties",-883.985380336506,0.01
"3","oseberg",-889.210493033801,0.01
"4","ekofisk",-887.601521729696,0.01
"5","troll",-888.398583940713,0.01
"6","north_sea_basket",-888.345901734656,0.01
"7","statfjord",-893.356881832589,0.01
"8","flotta_gold",-888.008837770088,0.01
"9","duc_dansk",-889.796105702075,0.01
"10","grane",-902.929504880789,0.01
"11","gulfaks",-895.293532277513,0.01
"12","alvheim",-969.653189416087,0.01
"13","asgard",-974.658863723752,0.01
"14","wti_midlands",-1134.69281891435,0.01
"15","eagleford_45",-1129.03194939951,0.01
